;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Project Ref;Calculation Design Stage;UK District;GIFA (m2);Project Value (œm);Value Type;Project Sector;Construction Type;Storeys (#);Passivhaus?;Basement Type;Foundation Type;Ground Floor Type;Superstructure Type;Cladding Type;Carbon A1-A3 (kgCO2e);Carbon A1-A5 (kgCO2e);Carbon A1-C4 (kgCO2e);Carbon A1-D (kgCO2e);A1-A3 Rate (kgCO2e/m2);A1-A5 Rate (kgCO2e/m2);A1-C4 Rate (kgCO2e/m2);A1-D Rate (kgCO2e/m2);Construction Carbon (A1-A5) (kgCO2e);Construction % Carbon (A1-A5);Concrete Total Mass (kg);Concrete Total Carbon (A1-A5) (kgCO2e);Concrete % Carbon (A1-A5);Masonry & Blockwork Total Area (m2);Masonry & Blockwork Total Carbon (A1-A5) (kgCO2e);Masonry % Blockwork % Carbon (A1-A5);Reinforcement Total Mass (kg);Reinforcement Total Carbon (A1-A5) (kgCO2e);Reinforcement % Carbon (A1-A5);Steel (Other) Total Mass (kg);Steel (Other) Total Carbon (A1-A5) (kgCO2e);Steel (Other) % Carbon (A1-A5);Steel (Sections) Total Mass (kg);Steel (Sections) Total Carbon (A1-A5) (kgCO2e);Steel (Sections) % Carbon (A1-A5);Timber (Plain) Total Mass (kg);Timber (Plain) Total Carbon (A1-A5) (kgCO2e);Timber (Plain) % Carbon (A1-A5);Timber (Products) Total Mass (kg);Timber (Products) Total Carbon (A1-A5) (kgCO2e);Timber (Products) % Carbon (A1-A5)
1;Stage 4;OX4;5642;15;Whole Building;Residential (Multi);New Build (Greenfield);2;No;None;Mass Pads/Strips;Suspended Precast;Masonry/Timber;Masonry Only;776263;1136232;1269140;1220792;137,6;201,4;224,9;216,4;105000;9,2%;2639542;212753;18,7%;21635;654510;57,6%;7617;16219;1,4%;6150;19091;1,7%;2450;3915;0,3%;45863;17598;1,5%;109390;107145;9,4%
2;Stage 3;BR3;31592;77;Whole Building;Residential (Multi);New Build (Brownfield);7;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;8429603;9825522;10342388;8873639;266,8;311,0;327,4;280,9;539000;5,5%;35718253;4858091;49,4%;12066;487292;5,0%;1836606;3910746;39,8%;5845;18144;0,2%;0;0;0,0%;34585;12250;0,1%;0;0;0,0%
3;As-Built;TW3;9862;24;Whole Building;Educational;New Build (Brownfield);3;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;3119642;3637755;3812153;3365251;316,3;368,9;386,5;341,2;168000;4,6%;13014984;1928667;53,0%;7160;298775;8,2%;541234;1152467;31,7%;0;0;0,0%;55614;88878;2,4%;1947;968;0,0%;0;0;0,0%
4;Stage 3;BR1;17240;40;Whole Building;Residential (Multi);New Build (Brownfield);8;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;5077415;5844220;6136749;5214343;294,5;339,0;356,0;302,5;280000;4,8%;20845880;2804041;48,0%;6170;211739;3,6%;1124431;2394288;41,0%;0;0;0,0%;93630;149631;2,6%;0;0;0,0%;6078;4521;0,1%
5;Stage 3;N15;2290;2;Whole Building;Residential (Multi);New Build (Greenfield);3;No;None;Mass Pads/Strips;Suspended Precast;Masonry/Timber;Masonry Only;252796;328798;358757;343081;110,4;143,6;156,7;149,8;14000;4,3%;999470;160833;48,9%;4165;93293;28,4%;0;0;0,0%;0;0;0,0%;30082;48074;14,6%;25341;12597;3,8%;0;0;0,0%
6;Stage 3;BS16;1330;2,5;Whole Building;Residential (Multi);New Build (Brownfield);3;No;None;Mass Pads/Strips;Suspended Precast;Masonry/Timber;Masonry Only;276743;395560;435199;421671;208,1;297,4;327,2;317,0;17500;4,4%;676453;93760;23,7%;4112;246468;62,3%;4662;9927;2,5%;0;0;0,0%;0;0;0,0%;29509;11959;3,0%;16280;15946;4,0%
7;As-Built;IP31;1050;4,2;Whole Building;Cultural/Public;New Build (Greenfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Masonry/Timber;Masonry Only;296431;392868;438216;419961;282,3;374,2;417,3;400,0;29400;7,5%;1734000;152248;38,8%;3789;151058;38,4%;5000;10647;2,7%;0;0;0,0%;25000;39953;10,2%;27000;9563;2,4%;0;0;0,0%
8;Stage 5;SK17;876;1,5;Whole Building;Commercial;Mixed New Build/Refurb;3;No;Partial Footprint;Mass Pads/Strips;Suspended RC;Steel Frame/Precast;Masonry Only;239946;295119;316945;285115;273,9;336,9;361,8;325,5;10500;3,6%;814220;97798;33,1%;3669;82180;27,8%;23639;50336;17,1%;0;0;0,0%;29421;47018;15,9%;14660;7287;2,5%;0;0;0,0%
9;As-Built;W7;1400;4,5;Whole Building;Residential (Multi);New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended RC;Masonry/Concrete;Masonry Only;289488;378672;405200;385486;206,8;270,5;289,4;275,3;31500;8,3%;1175125;156266;41,3%;3395;137769;36,4%;24955;53138;14,0%;0;0;0,0%;0;0;0,0%;0;0;0,0%;0;0;0,0%
10;As-Built;SN8;1534;9;Whole Building;Residential (Single);New Build (Greenfield);2;No;Partial Footprint;Raft;Suspended RC;Masonry/Concrete;Masonry/Stone;458585;603764;643842;580761;298,9;393,6;419,7;378,6;63000;10,4%;1849680;221934;36,8%;3056;141256;23,4%;70058;149177;24,7%;0;0;0,0%;12948;20692;3,4%;15500;7705;1,3%;0;0;0,0%
